type,name,college_or_city,channel,handle_or_phone,status,last_touch,notes
seed_friend,,,,,asked,,Fill 20 rows from your WhatsApp
seed_friend,,,,,asked,,
seed_friend,,,,,asked,,
seed_friend,,,,,asked,,
seed_friend,,,,,asked,,
campus_voice,,,,,asked,,Aim 8 asks this week
campus_voice,,,,,asked,,
campus_voice,,,,,asked,,
campus_voice,,,,,asked,,
campus_voice,,,,,asked,,
ig_page,DU India,Delhi University,instagram,@du__india,todo,,"Public collab DM — ask 1 debate reply, not paid first"
ig_page,DU Club,Delhi University,instagram,@du__club,todo,,Campus updates; warm collab tone
ig_page,Campus Chronicles DU,Delhi University,instagram,@campuschroniclesdu,todo,,Fest/culture content fit
ig_page,Christ University (official),Bangalore,instagram,@christ_university_bangalore,todo,,Prefer student clubs over official for memes
ig_search,Christ meme / confessions,Bangalore,instagram,search: christ university memes,todo,,DM admin of highest-engagement student page
ig_search,RVCE / PES memes,Bangalore,instagram,search: rvce memes OR pes university memes,todo,,
ig_search,CBIT / UoH memes,Hyderabad,instagram,search: cbit memes OR uoh confessions,todo,,
ig_search,St Xavier Mumbai memes,Mumbai,instagram,search: xaviers mumbai memes,todo,,
ig_search,NMIMS undergrad clubs,Mumbai,instagram,search: nmims ecell OR nmims fest,todo,,Wedge B / Fund it Pass later
ecell,E-Cell (warm college),,instagram,search: [your college] ecell,todo,,Ask for Fund it/Pass night after Gate #1
whatsapp_group,Your existing college group,,,todo,,Soft ask for 1 Campus Voice — no spam
telegram,,BaratX Daily,telegram,CREATE TODAY,todo,,Bio: Today’s question → barathx.com
whatsapp_channel,BaratX Channel,,whatsapp,https://whatsapp.com/channel/0029VbDMIgqHQbS9tfQo6u2o,live,2026-08-09,Share in all DMs + Campus Voice onboarding + IG bio
